,name,precision,recall,f1,auc
0,normal / no indexing,0.44405594405594406,0.5497835497835498,0.4912959381044487,0.5841450216450217
1,cardiomegaly,0.10476190476190476,0.25,0.1476510067114094,0.5288412885815483
2,scoliosis / degenerative,0.13157894736842105,0.3125,0.18518518518518517,0.4849403578528827
3,fractures bone,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.5983654407472271
4,pleural effusion,0.04054054054054054,0.5,0.075,0.6004916420845624
5,thickening,0.009523809523809525,0.6666666666666666,0.018779342723004695,0.4165222414789139
6,pneumothorax,0.005190311418685121,1.0,0.010327022375215145,0.42701149425287355
7,hernia hiatal,0.012269938650306749,0.3333333333333333,0.023668639053254437,0.5843443096476026
8,calcinosis,0.0647985989492119,0.9736842105263158,0.12151067323481116,0.463640753259295
9,emphysema / pulmonary emphysema,0.03184713375796178,0.8823529411764706,0.06147540983606557,0.5647474537518188
10,pneumonia / infiltrate / consolidation,0.022887323943661973,0.8666666666666667,0.044596912521440824,0.5070422535211268
11,pulmonary edema,0.0,0.0,0.0,0.4243212016175621
12,pulmonary atelectasis,0.07413793103448275,1.0,0.13804173354735153,0.434625322997416
13,cicatrix,0.04888888888888889,0.8461538461538461,0.09243697478991598,0.6050269299820467
14,opacity,0.11145510835913312,0.5294117647058824,0.18414322250639387,0.4972015990862364
15,nodule / mass,0.023809523809523808,0.058823529411764705,0.033898305084745756,0.46217002702140925
16,airspace disease,0.0,0.0,0.0,0.49094138543516874
17,hypoinflation / hyperdistention,0.15598885793871867,0.691358024691358,0.2545454545454545,0.5406767989769318
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.06711409395973154,0.24390243902439024,0.10526315789473684,0.533210332103321
19,other,0.10323886639676114,0.864406779661017,0.18444846292947562,0.5304696597231207
