,name,precision,recall,f1,auc
0,normal / no indexing,0.4712328767123288,0.7445887445887446,0.5771812080536913,0.656828020464384
1,cardiomegaly,0.24,0.4090909090909091,0.3025210084033613,0.6715719345589475
2,scoliosis / degenerative,0.14330218068535824,0.575,0.22942643391521195,0.5557405566600397
3,fractures bone,0.03418803418803419,0.3333333333333333,0.062015503875969,0.6399591360186807
4,pleural effusion,0.05952380952380952,0.2777777777777778,0.0980392156862745,0.7347099311701081
5,thickening,0.013333333333333334,0.16666666666666666,0.02469135802469136,0.4592720970537262
6,pneumothorax,0.015873015873015872,0.3333333333333333,0.030303030303030304,0.4011494252873563
7,hernia hiatal,0.0297029702970297,0.5,0.05607476635514018,0.7671865973425765
8,calcinosis,0.08835341365461848,0.5789473684210527,0.15331010452961674,0.6171897633993241
9,emphysema / pulmonary emphysema,0.06299212598425197,0.9411764705882353,0.1180811808118081,0.8300769070879235
10,pneumonia / infiltrate / consolidation,0.036036036036036036,0.5333333333333333,0.06751054852320676,0.5673708920187793
11,pulmonary edema,0.0,0.0,0.0,0.5756787983824379
12,pulmonary atelectasis,0.095,0.4418604651162791,0.15637860082304528,0.5975452196382429
13,cicatrix,0.06622516556291391,0.7692307692307693,0.12195121951219512,0.6569534594669244
14,opacity,0.2159090909090909,0.27941176470588236,0.24358974358974358,0.6757852655625357
15,nodule / mass,0.03225806451612903,0.29411764705882354,0.05813953488372092,0.5021824984410725
16,airspace disease,0.15217391304347827,0.35,0.21212121212121213,0.6033747779751332
17,hypoinflation / hyperdistention,0.17289719626168223,0.4567901234567901,0.25084745762711863,0.5709261718557866
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.14414414414414414,0.3902439024390244,0.2105263157894737,0.6674916749167492
19,other,0.1053921568627451,0.7288135593220338,0.18415417558886513,0.4910725837753913
