,name,precision,recall,f1,auc
0,normal / no indexing,0.4984126984126984,0.6796536796536796,0.575091575091575,0.6563483864620229
1,cardiomegaly,0.17391304347826086,0.18181818181818182,0.17777777777777776,0.6574464496542418
2,scoliosis / degenerative,0.15028901734104047,0.65,0.24413145539906103,0.5575795228628231
3,fractures bone,0.035175879396984924,0.5833333333333334,0.06635071090047392,0.7030064214827788
4,pleural effusion,0.08571428571428572,0.5,0.14634146341463414,0.7537856440511308
5,thickening,0.006944444444444444,0.16666666666666666,0.013333333333333332,0.4968226458694396
6,pneumothorax,0.0056179775280898875,0.3333333333333333,0.011049723756906077,0.46034482758620693
7,hernia hiatal,0.01875,0.5,0.03614457831325301,0.7345465049104565
8,calcinosis,0.0764872521246459,0.7105263157894737,0.1381074168797954,0.5536455818445196
9,emphysema / pulmonary emphysema,0.043478260869565216,1.0,0.08333333333333333,0.8261276241945541
10,pneumonia / infiltrate / consolidation,0.02575107296137339,0.4,0.04838709677419355,0.4902582159624413
11,pulmonary edema,0.0,0.0,0.0,0.47689196995956096
12,pulmonary atelectasis,0.08108108108108109,0.4883720930232558,0.1390728476821192,0.5232988802756244
13,cicatrix,0.04884318766066838,0.7307692307692307,0.09156626506024096,0.6388620356304378
14,opacity,0.17592592592592593,0.27941176470588236,0.2159090909090909,0.6058823529411764
15,nodule / mass,0.028925619834710745,0.4117647058823529,0.05405405405405406,0.5189149864892953
16,airspace disease,0.19230769230769232,0.25,0.2173913043478261,0.6198046181172292
17,hypoinflation / hyperdistention,0.16901408450704225,0.7407407407407407,0.27522935779816515,0.6010279868181594
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.11811023622047244,0.36585365853658536,0.17857142857142858,0.5892358923589236
19,other,0.09280742459396751,0.6779661016949152,0.163265306122449,0.47027429162893003
