,name,precision,recall,f1,auc
0,normal / no indexing,0.5272727272727272,0.7532467532467533,0.6203208556149732,0.7430145611963794
1,cardiomegaly,0.2184873949579832,0.5909090909090909,0.31901840490797545,0.7995867768595042
2,scoliosis / degenerative,0.24050632911392406,0.475,0.31932773109243695,0.6559393638170974
3,fractures bone,0.11764705882352941,0.16666666666666666,0.13793103448275862,0.7180385288966725
4,pleural effusion,0.16,0.4444444444444444,0.23529411764705882,0.9222222222222223
5,thickening,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.4523396880415944
6,pneumothorax,0.0,0.0,0.0,0.506896551724138
7,hernia hiatal,0.09090909090909091,0.3333333333333333,0.14285714285714288,0.8766608896591566
8,calcinosis,0.084070796460177,0.5,0.14393939393939395,0.5611781747947852
9,emphysema / pulmonary emphysema,0.16216216216216217,0.7058823529411765,0.26373626373626374,0.9104136354188317
10,pneumonia / infiltrate / consolidation,0.1,0.3333333333333333,0.15384615384615383,0.7498826291079812
11,pulmonary edema,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.7931831311380704
12,pulmonary atelectasis,0.19047619047619047,0.37209302325581395,0.25196850393700787,0.7247631352282516
13,cicatrix,0.14772727272727273,0.5,0.2280701754385965,0.7433365557243474
14,opacity,0.29292929292929293,0.4264705882352941,0.3473053892215569,0.7215019988577956
15,nodule / mass,0.008064516129032258,0.058823529411764705,0.014184397163120565,0.4040739970900021
16,airspace disease,0.11538461538461539,0.15,0.13043478260869565,0.6798401420959147
17,hypoinflation / hyperdistention,0.23880597014925373,0.5925925925925926,0.3404255319148936,0.7385519649795876
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.18888888888888888,0.4146341463414634,0.25954198473282447,0.7636126361263612
19,other,0.11983471074380166,0.4915254237288136,0.1926910299003322,0.5761418035968431
