,name,precision,recall,f1,auc
0,normal / no indexing,0.4369230769230769,0.6147186147186147,0.5107913669064749,0.5787706611570247
1,cardiomegaly,0.09090909090909091,0.13636363636363635,0.10909090909090909,0.5844999156687468
2,scoliosis / degenerative,0.15161290322580645,0.5875,0.24102564102564103,0.5571819085487077
3,fractures bone,0.043478260869565216,0.16666666666666666,0.06896551724137931,0.6310566258026854
4,pleural effusion,0.03424657534246575,0.2777777777777778,0.06097560975609755,0.5876106194690266
5,thickening,0.010948905109489052,0.5,0.02142857142857143,0.39601386481802425
6,pneumothorax,0.004210526315789474,0.6666666666666666,0.008368200836820085,0.31781609195402294
7,hernia hiatal,0.014925373134328358,0.5,0.02898550724637681,0.6204506065857887
8,calcinosis,0.06382978723404255,0.7894736842105263,0.11811023622047244,0.5465475615644616
9,emphysema / pulmonary emphysema,0.03556485355648536,1.0,0.06868686868686869,0.7434005404281854
10,pneumonia / infiltrate / consolidation,0.019823788546255508,0.6,0.03837953091684435,0.44272300469483566
11,pulmonary edema,0.0,0.0,0.0,0.46158290005777003
12,pulmonary atelectasis,0.07174887892376682,0.7441860465116279,0.130879345603272,0.4758397932816537
13,cicatrix,0.049723756906077346,0.6923076923076923,0.09278350515463916,0.5912857340146389
14,opacity,0.15706806282722513,0.4411764705882353,0.23166023166023164,0.5535693889206168
15,nodule / mass,0.0641025641025641,0.29411764705882354,0.10526315789473684,0.6096445645395967
16,airspace disease,0.3333333333333333,0.05,0.08695652173913045,0.4315275310834813
17,hypoinflation / hyperdistention,0.15210355987055016,0.5802469135802469,0.24102564102564106,0.5543750922236977
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.06976744186046512,0.21951219512195122,0.10588235294117648,0.5506255062550626
19,other,0.09297052154195011,0.6949152542372882,0.164,0.5240328632423341
