,name,precision,recall,f1,auc
0,normal / no indexing,0.5425219941348973,0.8008658008658008,0.6468531468531469,0.7457201889020071
1,cardiomegaly,0.22727272727272727,0.5681818181818182,0.3246753246753247,0.8190672963400236
2,scoliosis / degenerative,0.2597402597402597,0.5,0.34188034188034183,0.6493538767395627
3,fractures bone,0.0975609756097561,0.3333333333333333,0.15094339622641506,0.6636018680677174
4,pleural effusion,0.1724137931034483,0.5555555555555556,0.26315789473684215,0.9058013765978367
5,thickening,0.0,0.0,0.0,0.4777585210860774
6,pneumothorax,0.0,0.0,0.0,0.49655172413793097
7,hernia hiatal,0.0625,0.3333333333333333,0.10526315789473684,0.8682842287694975
8,calcinosis,0.10548523206751055,0.6578947368421053,0.1818181818181818,0.665958474167069
9,emphysema / pulmonary emphysema,0.12871287128712872,0.7647058823529411,0.22033898305084745,0.8904593639575971
10,pneumonia / infiltrate / consolidation,0.1111111111111111,0.4666666666666667,0.1794871794871795,0.7759389671361503
11,pulmonary edema,0.058823529411764705,0.5,0.10526315789473684,0.8292894280762565
12,pulmonary atelectasis,0.17543859649122806,0.46511627906976744,0.25477707006369427,0.7393626184323859
13,cicatrix,0.11486486486486487,0.6538461538461539,0.19540229885057472,0.72262118491921
14,opacity,0.3137254901960784,0.47058823529411764,0.3764705882352941,0.7333238149628784
15,nodule / mass,0.013071895424836602,0.11764705882352941,0.023529411764705882,0.42891290791935144
16,airspace disease,0.13157894736842105,0.25,0.1724137931034483,0.6917406749555951
17,hypoinflation / hyperdistention,0.24257425742574257,0.6049382716049383,0.3462897526501767,0.7193940288229796
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.14705882352941177,0.36585365853658536,0.2097902097902098,0.7118621186211862
19,other,0.11551155115511551,0.5932203389830508,0.19337016574585636,0.552464743175055
