,name,precision,recall,f1,auc
0,normal / no indexing,0.5252808988764045,0.8095238095238095,0.6371379897785349,0.7465810704447069
1,cardiomegaly,0.23404255319148937,0.5,0.31884057971014496,0.8106763366503625
2,scoliosis / degenerative,0.2361111111111111,0.425,0.30357142857142855,0.6585487077534792
3,fractures bone,0.13636363636363635,0.25,0.1764705882352941,0.6513426736719206
4,pleural effusion,0.2,0.5555555555555556,0.29411764705882354,0.9309734513274336
5,thickening,0.0,0.0,0.0,0.5335066435586366
6,pneumothorax,0.0,0.0,0.0,0.3385057471264368
7,hernia hiatal,0.07142857142857142,0.16666666666666666,0.1,0.9000577700751011
8,calcinosis,0.06701030927835051,0.34210526315789475,0.11206896551724138,0.5167551907291162
9,emphysema / pulmonary emphysema,0.1702127659574468,0.47058823529411764,0.25,0.908542922469341
10,pneumonia / infiltrate / consolidation,0.12195121951219512,0.3333333333333333,0.17857142857142858,0.6732394366197183
11,pulmonary edema,0.0,0.0,0.0,0.7746967071057193
12,pulmonary atelectasis,0.2,0.3023255813953488,0.24074074074074073,0.703875968992248
13,cicatrix,0.16326530612244897,0.3076923076923077,0.21333333333333332,0.7542466510150532
14,opacity,0.2804878048780488,0.3382352941176471,0.3066666666666667,0.7006282124500285
15,nodule / mass,0.014925373134328358,0.058823529411764705,0.023809523809523808,0.36853045104967785
16,airspace disease,0.0,0.0,0.0,0.7163410301953819
17,hypoinflation / hyperdistention,0.24858757062146894,0.5432098765432098,0.34108527131782945,0.7329201711671831
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.17391304347826086,0.3902439024390244,0.2406015037593985,0.7293222932229322
19,other,0.12849162011173185,0.3898305084745763,0.19327731092436976,0.5539203001681977
