,name,precision,recall,f1,auc
0,normal / no indexing,0.4753246753246753,0.7922077922077922,0.5941558441558441,0.6612062180243998
1,cardiomegaly,0.21875,0.3181818181818182,0.25925925925925924,0.7207370551526395
2,scoliosis / degenerative,0.15948275862068967,0.4625,0.2371794871794872,0.5511679920477137
3,fractures bone,0.045454545454545456,0.4166666666666667,0.08196721311475409,0.7135143023934617
4,pleural effusion,0.10714285714285714,0.5,0.17647058823529413,0.8107177974434612
5,thickening,0.014285714285714285,0.16666666666666666,0.02631578947368421,0.44685153090699015
6,pneumothorax,0.0,0.0,0.0,0.535632183908046
7,hernia hiatal,0.036036036036036036,0.6666666666666666,0.06837606837606838,0.756787983824379
8,calcinosis,0.08494208494208494,0.5789473684210527,0.14814814814814814,0.5656687590535971
9,emphysema / pulmonary emphysema,0.0653061224489796,0.9411764705882353,0.12213740458015267,0.838287258366244
10,pneumonia / infiltrate / consolidation,0.03587443946188341,0.5333333333333333,0.06722689075630252,0.5955399061032863
11,pulmonary edema,0.024096385542168676,0.3333333333333333,0.0449438202247191,0.58578856152513
12,pulmonary atelectasis,0.1092436974789916,0.6046511627906976,0.18505338078291814,0.613953488372093
13,cicatrix,0.07659574468085106,0.6923076923076923,0.13793103448275862,0.6647562491368595
14,opacity,0.22340425531914893,0.3088235294117647,0.2592592592592593,0.6307538549400343
15,nodule / mass,0.039525691699604744,0.5882352941176471,0.07407407407407407,0.5929120764913739
16,airspace disease,0.10909090909090909,0.3,0.16,0.6321492007104795
17,hypoinflation / hyperdistention,0.19230769230769232,0.6790123456790124,0.29972752043596734,0.6485908218975949
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.1724137931034483,0.36585365853658536,0.234375,0.6758617586175861
19,other,0.09767441860465116,0.711864406779661,0.17177914110429446,0.501908396946565
