,name,precision,recall,f1,auc
0,normal / no indexing,0.46440677966101696,0.5930735930735931,0.5209125475285171,0.599530204643841
1,cardiomegaly,0.18518518518518517,0.22727272727272727,0.20408163265306123,0.6090824759655928
2,scoliosis / degenerative,0.14805194805194805,0.7125,0.24516129032258063,0.5281063618290258
3,fractures bone,0.03409090909090909,0.5,0.06382978723404255,0.6303269118505546
4,pleural effusion,0.061946902654867256,0.3888888888888889,0.10687022900763359,0.6805309734513274
5,thickening,0.0,0.0,0.0,0.4352975158867706
6,pneumothorax,0.0,0.0,0.0,0.410919540229885
7,hernia hiatal,0.009345794392523364,0.3333333333333333,0.01818181818181818,0.6088965915655691
8,calcinosis,0.07008086253369272,0.6842105263157895,0.1271393643031785,0.5549010140028972
9,emphysema / pulmonary emphysema,0.04218362282878412,1.0,0.08095238095238096,0.7833090833506547
10,pneumonia / infiltrate / consolidation,0.0220125786163522,0.4666666666666667,0.042042042042042045,0.41326291079812205
11,pulmonary edema,0.0,0.0,0.0,0.5213749277874061
12,pulmonary atelectasis,0.061946902654867256,0.4883720930232558,0.1099476439790576,0.47411714039621017
13,cicatrix,0.05604719764011799,0.7307692307692307,0.10410958904109589,0.6549509736224278
14,opacity,0.18,0.39705882352941174,0.24770642201834858,0.6081382067390062
15,nodule / mass,0.038461538461538464,0.5882352941176471,0.07220216606498196,0.5367906880066513
16,airspace disease,0.09375,0.15,0.11538461538461538,0.625222024866785
17,hypoinflation / hyperdistention,0.14840989399293286,0.5185185185185185,0.23076923076923075,0.5496778318823472
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.08547008547008547,0.24390243902439024,0.12658227848101264,0.5823958239582396
19,other,0.096,0.8135593220338984,0.17173524150268338,0.508312847716393
