,name,precision,recall,f1,auc
0,normal / no indexing,0.5594855305466238,0.7532467532467533,0.6420664206642067,0.7495572609208974
1,cardiomegaly,0.25,0.5681818181818182,0.3472222222222222,0.827331759149941
2,scoliosis / degenerative,0.1956521739130435,0.675,0.30337078651685395,0.6541500994035785
3,fractures bone,0.09259259259259259,0.4166666666666667,0.1515151515151515,0.7367192060712201
4,pleural effusion,0.18309859154929578,0.7222222222222222,0.29213483146067415,0.9096361848574237
5,thickening,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.44367417677642984
6,pneumothorax,0.0,0.0,0.0,0.5494252873563218
7,hernia hiatal,0.06097560975609756,0.8333333333333334,0.11363636363636363,0.8578856152512999
8,calcinosis,0.09206349206349207,0.7631578947368421,0.16430594900849857,0.6505552873008208
9,emphysema / pulmonary emphysema,0.10144927536231885,0.8235294117647058,0.1806451612903226,0.8874454375389732
10,pneumonia / infiltrate / consolidation,0.09230769230769231,0.4,0.15,0.7384976525821596
11,pulmonary edema,0.0,0.0,0.0,0.7654534950895435
12,pulmonary atelectasis,0.171875,0.5116279069767442,0.2573099415204678,0.7128337639965547
13,cicatrix,0.1016949152542373,0.6923076923076923,0.17733990147783252,0.7396768402154399
14,opacity,0.32142857142857145,0.5294117647058824,0.39999999999999997,0.7444317532838378
15,nodule / mass,0.018404907975460124,0.17647058823529413,0.03333333333333333,0.5150696320931198
16,airspace disease,0.075,0.15,0.1,0.6938721136767317
17,hypoinflation / hyperdistention,0.23553719008264462,0.7037037037037037,0.35294117647058826,0.7207466430574001
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.16393442622950818,0.4878048780487805,0.24539877300613497,0.7501125011250113
19,other,0.1103448275862069,0.5423728813559322,0.1833810888252149,0.5345128735929616
